2023/08/11 01:52:02.809 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:52:02.809 [I] [control.go:102]  Reconnecting...
2023/08/11 01:52:09.830 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:52:09.830 [I] [control.go:102]  Reconnecting...
2023/08/11 01:52:16.850 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:52:16.850 [I] [control.go:102]  Reconnecting...
2023/08/11 01:52:23.885 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:52:23.885 [I] [control.go:102]  Reconnecting...
2023/08/11 01:52:30.904 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:52:30.905 [I] [control.go:102]  Reconnecting...
2023/08/11 01:52:37.940 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:52:37.940 [I] [control.go:102]  Reconnecting...
2023/08/11 01:52:44.964 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:52:44.964 [I] [control.go:102]  Reconnecting...
2023/08/11 01:52:52.000 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:52:52.001 [I] [control.go:102]  Reconnecting...
2023/08/11 01:52:59.036 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:52:59.036 [I] [control.go:102]  Reconnecting...
2023/08/11 01:53:06.074 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:53:06.074 [I] [control.go:102]  Reconnecting...
2023/08/11 01:53:13.110 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:53:13.110 [I] [control.go:102]  Reconnecting...
2023/08/11 01:53:20.116 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:53:20.116 [I] [control.go:102]  Reconnecting...
2023/08/11 01:53:27.151 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:53:27.152 [I] [control.go:102]  Reconnecting...
2023/08/11 01:53:34.160 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:53:34.160 [I] [control.go:102]  Reconnecting...
2023/08/11 01:53:41.195 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:53:41.195 [I] [control.go:102]  Reconnecting...
2023/08/11 01:53:48.230 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:53:48.231 [I] [control.go:102]  Reconnecting...
2023/08/11 01:53:55.268 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:53:55.268 [I] [control.go:102]  Reconnecting...
2023/08/11 01:54:02.302 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:54:02.302 [I] [control.go:102]  Reconnecting...
